ROTA,origem,destino,distancia_km,distancia_texto
CONCEIÇÃO DO PARÁ/MG:RIO DE JANEIRO/RJ,CONCEIÇÃO DO PARÁ/MG,RIO DE JANEIRO/RJ,551.111,551 km
FLORESTAL/MG:RIO DE JANEIRO/RJ,FLORESTAL/MG,RIO DE JANEIRO/RJ,494.28,494 km
SÃO JOAQUIM DE BICAS/MG:RIO DE JANEIRO/RJ,SÃO JOAQUIM DE BICAS/MG,RIO DE JANEIRO/RJ,471.452,471 km
MANTENA/MG:BETIM/MG,MANTENA/MG,BETIM/MG,478.444,478 km
IGARAPÉ/MG:SANTA BÁRBARA/MG,IGARAPÉ/MG,SANTA BÁRBARA/MG,153.715,154 km
BOM DESPACHO/MG:UBERLÂNDIA/MG,BOM DESPACHO/MG,UBERLÂNDIA/MG,387.332,387 km
IPANEMA/MG:RIO DE JANEIRO/RJ,IPANEMA/MG,RIO DE JANEIRO/RJ,512.429,512 km
DIAMANTINA/MG:GUARULHOS/SP,DIAMANTINA/MG,GUARULHOS/SP,837.925,838 km
GUANHÃES/MG:UBERLÂNDIA/MG,GUANHÃES/MG,UBERLÂNDIA/MG,754.599,755 km
ITAMOGI/MG:SÃO PAULO/SP,ITAMOGI/MG,SÃO PAULO/SP,322.794,323 km
IGARAPÉ/MG:CONTAGEM/MG,IGARAPÉ/MG,CONTAGEM/MG,36.549,"36,5 km"
PIRASSUNUNGA/SP:SÃO PAULO/SP,PIRASSUNUNGA/SP,SÃO PAULO/SP,212.281,212 km
GRAVATAÍ/RS:SÃO PAULO/SP,GRAVATAÍ/RS,SÃO PAULO/SP,1119.547,1.120 km
PRATA/MG:SUZANO/SP,PRATA/MG,SUZANO/SP,628.582,629 km
CABO VERDE/MG:BELO HORIZONTE/MG,CABO VERDE/MG,BELO HORIZONTE/MG,428.842,429 km
SÃO PAULO/SP:GUARULHOS/SP,SÃO PAULO/SP,GUARULHOS/SP,21.777,"21,8 km"
RIBEIRÃO DAS NEVES/MG:SÃO PAULO/SP,RIBEIRÃO DAS NEVES/MG,SÃO PAULO/SP,594.044,594 km
SÃO PAULO/SP:PENÁPOLIS/SP,SÃO PAULO/SP,PENÁPOLIS/SP,476.074,476 km
MATEUS LEME/MG:RIO DE JANEIRO/RJ,MATEUS LEME/MG,RIO DE JANEIRO/RJ,489.27,489 km
ITUIUTABA/MG:GUARULHOS/SP,ITUIUTABA/MG,GUARULHOS/SP,696.145,696 km
JOÃO MONLEVADE/MG:BELO HORIZONTE/MG,JOÃO MONLEVADE/MG,BELO HORIZONTE/MG,116.513,117 km
PATOS DE MINAS/MG:BETIM/MG,PATOS DE MINAS/MG,BETIM/MG,368.598,369 km
BELO VALE/MG:IGARAPÉ/MG,BELO VALE/MG,IGARAPÉ/MG,81.836,"81,8 km"
IGARAPÉ/MG:SETE LAGOAS/MG,IGARAPÉ/MG,SETE LAGOAS/MG,97.756,"97,8 km"
SÃO JOÃO DEL REI/MG:MESQUITA/RJ,SÃO JOÃO DEL REI/MG,MESQUITA/RJ,333.389,333 km
MONTE MOR/SP:SÃO PAULO/SP,MONTE MOR/SP,SÃO PAULO/SP,118.149,118 km
LIMEIRA DO OESTE/MG:GUARULHOS/SP,LIMEIRA DO OESTE/MG,GUARULHOS/SP,685.157,685 km
SUZANO/SP:UBERLÂNDIA/MG,SUZANO/SP,UBERLÂNDIA/MG,632.326,632 km
JANUÁRIA/MG:IGARAPÉ/MG,JANUÁRIA/MG,IGARAPÉ/MG,611.519,612 km
SÃO PAULO/SP:BETIM/MG,SÃO PAULO/SP,BETIM/MG,555.485,555 km
CONCEIÇÃO DO RIO VERDE/MG:GUARULHOS/SP,CONCEIÇÃO DO RIO VERDE/MG,GUARULHOS/SP,297.606,298 km
RIO DE JANEIRO/RJ:ITAJUBÁ/MG,RIO DE JANEIRO/RJ,ITAJUBÁ/MG,315.932,316 km
RINÓPOLIS/SP:SÃO PAULO/SP,RINÓPOLIS/SP,SÃO PAULO/SP,549.484,549 km
ITAMBACURI/MG:BETIM/MG,ITAMBACURI/MG,BETIM/MG,443.092,443 km
MONTE ALEGRE DE MINAS/MG:BETIM/MG,MONTE ALEGRE DE MINAS/MG,BETIM/MG,575.117,575 km
MUZAMBINHO/MG:BETIM/MG,MUZAMBINHO/MG,BETIM/MG,389.965,390 km
LAVRAS/MG:BETIM/MG,LAVRAS/MG,BETIM/MG,208.684,209 km
LIMA DUARTE/MG:RIO DE JANEIRO/RJ,LIMA DUARTE/MG,RIO DE JANEIRO/RJ,237.8,238 km
ITAPAGIPE/MG:BETIM/MG,ITAPAGIPE/MG,BETIM/MG,622.833,623 km
MADRE DE DEUS DE MINAS/MG:BETIM/MG,MADRE DE DEUS DE MINAS/MG,BETIM/MG,266.488,266 km
COROMANDEL/MG:IGARAPÉ/MG,COROMANDEL/MG,IGARAPÉ/MG,476.168,476 km
PAINS/MG:BETIM/MG,PAINS/MG,BETIM/MG,187.603,188 km
GUIMARÂNIA/MG:RIO DE JANEIRO/RJ,GUIMARÂNIA/MG,RIO DE JANEIRO/RJ,847.819,848 km
PIUMHI/MG:RIO DE JANEIRO/RJ,PIUMHI/MG,RIO DE JANEIRO/RJ,615.09,615 km
ESMERALDAS/MG:BELO HORIZONTE/MG,ESMERALDAS/MG,BELO HORIZONTE/MG,61.731,"61,7 km"
ITAJAÍ/SC:SÃO PAULO/SP,ITAJAÍ/SC,SÃO PAULO/SP,613.504,614 km
BETIM/MG:NOVA SERRANA/MG,BETIM/MG,NOVA SERRANA/MG,92.329,"92,3 km"
BARBACENA/MG:SUZANO/SP,BARBACENA/MG,SUZANO/SP,528.274,528 km
RIO DE JANEIRO/RJ:ITAPEVA/MG,RIO DE JANEIRO/RJ,ITAPEVA/MG,490.389,490 km
BELO HORIZONTE/MG:BOM JESUS DO AMPARO/MG,BELO HORIZONTE/MG,BOM JESUS DO AMPARO/MG,71.808,"71,8 km"
RIO DE JANEIRO/RJ:PRADOS/MG,RIO DE JANEIRO/RJ,PRADOS/MG,326.88,327 km
BOCAIÚVA/MG:GUARULHOS/SP,BOCAIÚVA/MG,GUARULHOS/SP,919.573,920 km
SETE LAGOAS/MG:SUZANO/SP,SETE LAGOAS/MG,SUZANO/SP,660.61,661 km
PASSO FUNDO/RS:SÃO PAULO/SP,PASSO FUNDO/RS,SÃO PAULO/SP,997.079,997 km
JARINU/SP:SÃO PAULO/SP,JARINU/SP,SÃO PAULO/SP,75.286,"75,3 km"
ARAÇARIGUAMA/SP:SÃO PAULO/SP,ARAÇARIGUAMA/SP,SÃO PAULO/SP,54.875,"54,9 km"
SANTIAGO/RS:SÃO PAULO/SP,SANTIAGO/RS,SÃO PAULO/SP,1327.041,1.327 km
LAPA/PR:SÃO PAULO/SP,LAPA/PR,SÃO PAULO/SP,489.229,489 km
SABARÁ/MG:CAÇAPAVA/SP,SABARÁ/MG,CAÇAPAVA/SP,551.271,551 km
LAVRAS/MG:IGARAPÉ/MG,LAVRAS/MG,IGARAPÉ/MG,192.038,192 km
MAUÁ/SP:BELO HORIZONTE/MG,MAUÁ/SP,BELO HORIZONTE/MG,601.379,601 km
MONTE ALEGRE DE MINAS/MG:SÃO PAULO/SP,MONTE ALEGRE DE MINAS/MG,SÃO PAULO/SP,658.892,659 km
PARAGUAÇU/MG:RIO DE JANEIRO/RJ,PARAGUAÇU/MG,RIO DE JANEIRO/RJ,432.81,433 km
MACHADO/MG:RIO DE JANEIRO/RJ,MACHADO/MG,RIO DE JANEIRO/RJ,454.031,454 km
GUZOLÂNDIA/SP:SÃO PAULO/SP,GUZOLÂNDIA/SP,SÃO PAULO/SP,577.75,578 km
MONTE SANTO DE MINAS/MG:RIO DE JANEIRO/RJ,MONTE SANTO DE MINAS/MG,RIO DE JANEIRO/RJ,693.417,693 km
RIO DE JANEIRO/RJ:FRUTAL/MG,RIO DE JANEIRO/RJ,FRUTAL/MG,903.251,903 km
IBIRITÉ/MG:BETIM/MG,IBIRITÉ/MG,BETIM/MG,26.081,"26,1 km"
JUNDIAÍ/SP:OSASCO/SP,JUNDIAÍ/SP,OSASCO/SP,55.506,"55,5 km"
CAMANDUCAIA/MG:SÃO PAULO/SP,CAMANDUCAIA/MG,SÃO PAULO/SP,134.203,134 km
VÁRZEA DA PALMA/MG:GUARULHOS/SP,VÁRZEA DA PALMA/MG,GUARULHOS/SP,848.726,849 km
CONGONHAL/MG:RIO DE JANEIRO/RJ,CONGONHAL/MG,RIO DE JANEIRO/RJ,395.106,395 km
BOCAINA/SP:SÃO PAULO/SP,BOCAINA/SP,SÃO PAULO/SP,299.958,300 km
BLUMENAU/SC:SÃO PAULO/SP,BLUMENAU/SC,SÃO PAULO/SP,650.286,650 km
SÃO JOSÉ DOS CAMPOS/SP:GUARULHOS/SP,SÃO JOSÉ DOS CAMPOS/SP,GUARULHOS/SP,75.265,"75,3 km"
LEOPOLDINA/MG:IGARAPÉ/MG,LEOPOLDINA/MG,IGARAPÉ/MG,363.823,364 km
LAGAMAR/MG:RIO DE JANEIRO/RJ,LAGAMAR/MG,RIO DE JANEIRO/RJ,905.808,906 km
IGARATINGA/MG:CAÇAPAVA/SP,IGARATINGA/MG,CAÇAPAVA/SP,520.019,520 km
DIAMANTINA/MG:RIO DE JANEIRO/RJ,DIAMANTINA/MG,RIO DE JANEIRO/RJ,724.667,725 km
MACHACALIS/MG:RIO DE JANEIRO/RJ,MACHACALIS/MG,RIO DE JANEIRO/RJ,902.583,903 km
CANDEIAS/BA:SÃO PAULO/SP,CANDEIAS/BA,SÃO PAULO/SP,1941.697,1.942 km
OURO BRANCO/MG:IGARAPÉ/MG,OURO BRANCO/MG,IGARAPÉ/MG,135.604,136 km
MALACACHETA/MG:RIO DE JANEIRO/RJ,MALACACHETA/MG,RIO DE JANEIRO/RJ,811.088,811 km
LAGOA DA PRATA/MG:RIO DE JANEIRO/RJ,LAGOA DA PRATA/MG,RIO DE JANEIRO/RJ,570.594,571 km
POÇOS DE CALDAS/MG:BELO HORIZONTE/MG,POÇOS DE CALDAS/MG,BELO HORIZONTE/MG,448.06,448 km
GOUVEIA/MG:RIO DE JANEIRO/RJ,GOUVEIA/MG,RIO DE JANEIRO/RJ,687.311,687 km
JACAREÍ/SP:SÃO PAULO/SP,JACAREÍ/SP,SÃO PAULO/SP,79.48,"79,5 km"
FRUTAL/MG:BELO HORIZONTE/MG,FRUTAL/MG,BELO HORIZONTE/MG,600.681,601 km
SANTA VITÓRIA/MG:RIO DE JANEIRO/RJ,SANTA VITÓRIA/MG,RIO DE JANEIRO/RJ,1138.19,1.138 km
SANTA FÉ DO SUL/SP:SÃO PAULO/SP,SANTA FÉ DO SUL/SP,SÃO PAULO/SP,625.654,626 km
NITERÓI/RJ:MACAÉ/RJ,NITERÓI/RJ,MACAÉ/RJ,171.835,172 km
ESPÍRITO SANTO DO DOURADO/MG:RIO DE JANEIRO/RJ,ESPÍRITO SANTO DO DOURADO/MG,RIO DE JANEIRO/RJ,404.142,404 km
RIO DE JANEIRO/RJ:LUZ/MG,RIO DE JANEIRO/RJ,LUZ/MG,619.318,619 km
DORES DO INDAIÁ/MG:RIO DE JANEIRO/RJ,DORES DO INDAIÁ/MG,RIO DE JANEIRO/RJ,669.651,670 km
QUINTA DO SOL/PR:SÃO PAULO/SP,QUINTA DO SOL/PR,SÃO PAULO/SP,697.003,697 km
TIMÓTEO/MG:BETIM/MG,TIMÓTEO/MG,BETIM/MG,228.535,229 km
GUARAPUAVA/PR:SÃO PAULO/SP,GUARAPUAVA/PR,SÃO PAULO/SP,669.979,670 km
ITIRAPINA/SP:SÃO PAULO/SP,ITIRAPINA/SP,SÃO PAULO/SP,213.753,214 km
SALTO DA DIVISA/MG:RIO DE JANEIRO/RJ,SALTO DA DIVISA/MG,RIO DE JANEIRO/RJ,1112.559,1.113 km
GUAXUPÉ/MG:SÃO PAULO/SP,GUAXUPÉ/MG,SÃO PAULO/SP,295.4,295 km
SÃO JOÃO DA PONTE/MG:RIO DE JANEIRO/RJ,SÃO JOÃO DA PONTE/MG,RIO DE JANEIRO/RJ,959.59,960 km
IPATINGA/MG:BELO HORIZONTE/MG,IPATINGA/MG,BELO HORIZONTE/MG,211.143,211 km
ESMERALDAS/MG:CAÇAPAVA/SP,ESMERALDAS/MG,CAÇAPAVA/SP,533.532,534 km
ITUIUTABA/MG:UBERLÂNDIA/MG,ITUIUTABA/MG,UBERLÂNDIA/MG,135.551,136 km
CONCEIÇÃO DOS OUROS/MG:RIO DE JANEIRO/RJ,CONCEIÇÃO DOS OUROS/MG,RIO DE JANEIRO/RJ,381.24,381 km
CACHOEIRA DA PRATA/MG:RIO DE JANEIRO/RJ,CACHOEIRA DA PRATA/MG,RIO DE JANEIRO/RJ,523.735,524 km
CHALÉ/MG:BETIM/MG,CHALÉ/MG,BETIM/MG,380.266,380 km
POÇOS DE CALDAS/MG:GUARULHOS/SP,POÇOS DE CALDAS/MG,GUARULHOS/SP,270.835,271 km
ITAMONTE/MG:RIO DE JANEIRO/RJ,ITAMONTE/MG,RIO DE JANEIRO/RJ,237.51,238 km
CAETANÓPOLIS/MG:BETIM/MG,CAETANÓPOLIS/MG,BETIM/MG,106.567,107 km
CHAPECÓ/SC:SÃO PAULO/SP,CHAPECÓ/SC,SÃO PAULO/SP,891.859,892 km
LEOPOLDINA/MG:RIO DE JANEIRO/RJ,LEOPOLDINA/MG,RIO DE JANEIRO/RJ,236.588,237 km
PORTO VELHO/RO:PORTO VELHO/RO,PORTO VELHO/RO,PORTO VELHO/RO,0.0,1 m
BETIM/MG:ALTEROSA/MG,BETIM/MG,ALTEROSA/MG,357.421,357 km
DESCALVADO/SP:SÃO PAULO/SP,DESCALVADO/SP,SÃO PAULO/SP,244.931,245 km
CAMPINAS/SP:LUCAS DO RIO VERDE/MT,CAMPINAS/SP,LUCAS DO RIO VERDE/MT,1770.645,1.771 km
PIRANGA/MG:BETIM/MG,PIRANGA/MG,BETIM/MG,188.419,188 km
PITANGA/PR:SÃO PAULO/SP,PITANGA/PR,SÃO PAULO/SP,760.808,761 km
LIMA DUARTE/MG:BELO HORIZONTE/MG,LIMA DUARTE/MG,BELO HORIZONTE/MG,292.062,292 km
LOUVEIRA/SP:SÃO PAULO/SP,LOUVEIRA/SP,SÃO PAULO/SP,71.955,"72,0 km"
BETIM/MG:GOVERNADOR VALADARES/MG,BETIM/MG,GOVERNADOR VALADARES/MG,344.513,345 km
SÃO PAULO/SP:SÃO BERNARDO DO CAMPO/SP,SÃO PAULO/SP,SÃO BERNARDO DO CAMPO/SP,21.849,"21,8 km"
PITANGUI/MG:IGARAPÉ/MG,PITANGUI/MG,IGARAPÉ/MG,106.825,107 km
RIO DE JANEIRO/RJ:SÃO JOSÉ DA LAPA/MG,RIO DE JANEIRO/RJ,SÃO JOSÉ DA LAPA/MG,473.277,473 km
ARCOS/MG:GUARULHOS/SP,ARCOS/MG,GUARULHOS/SP,475.835,476 km
SÃO PAULO/SP:PORTO ALEGRE/RS,SÃO PAULO/SP,PORTO ALEGRE/RS,1131.578,1.132 km
ARAGUARI/MG:IGARAPÉ/MG,ARAGUARI/MG,IGARAPÉ/MG,549.801,550 km
RIO DE JANEIRO/RJ:TEÓFILO OTONI/MG,RIO DE JANEIRO/RJ,TEÓFILO OTONI/MG,726.375,726 km
TAPEJARA/RS:GUARULHOS/SP,TAPEJARA/RS,GUARULHOS/SP,943.323,943 km
CACHOEIRA DE PAJEÚ/MG:BELO HORIZONTE/MG,CACHOEIRA DE PAJEÚ/MG,BELO HORIZONTE/MG,764.611,765 km
NOVA SERRANA/MG:GUARULHOS/SP,NOVA SERRANA/MG,GUARULHOS/SP,537.507,538 km
PARACATU/MG:PARACATU/MG,PARACATU/MG,PARACATU/MG,0.0,1 m
COLINA/SP:SÃO PAULO/SP,COLINA/SP,SÃO PAULO/SP,406.274,406 km
PIRAJUÍ/SP:SÃO PAULO/SP,PIRAJUÍ/SP,SÃO PAULO/SP,384.999,385 km
TAIOBEIRAS/MG:IGARAPÉ/MG,TAIOBEIRAS/MG,IGARAPÉ/MG,702.235,702 km
GARÇA/SP:SÃO PAULO/SP,GARÇA/SP,SÃO PAULO/SP,413.217,413 km
SÃO FRANCISCO DE SALES/MG:GUARULHOS/SP,SÃO FRANCISCO DE SALES/MG,GUARULHOS/SP,610.293,610 km
BELO HORIZONTE/MG:ITURAMA/MG,BELO HORIZONTE/MG,ITURAMA/MG,743.725,744 km
CARMÓPOLIS DE MINAS/MG:RIO DE JANEIRO/RJ,CARMÓPOLIS DE MINAS/MG,RIO DE JANEIRO/RJ,454.402,454 km
BELO HORIZONTE/MG:FRUTAL/MG,BELO HORIZONTE/MG,FRUTAL/MG,600.533,601 km
SÃO PAULO/SP:AMERICANA/SP,SÃO PAULO/SP,AMERICANA/SP,129.97,130 km
ROSÁRIO DA LIMEIRA/MG:RIO DE JANEIRO/RJ,ROSÁRIO DA LIMEIRA/MG,RIO DE JANEIRO/RJ,331.485,331 km
SILVIANÓPOLIS/MG:IGARAPÉ/MG,SILVIANÓPOLIS/MG,IGARAPÉ/MG,327.494,327 km
RIO DE JANEIRO/RJ:MUTUM/MG,RIO DE JANEIRO/RJ,MUTUM/MG,530.725,531 km
POPULINA/SP:SÃO PAULO/SP,POPULINA/SP,SÃO PAULO/SP,614.5,614 km
NOVA LIMA/MG:CABO FRIO/RJ,NOVA LIMA/MG,CABO FRIO/RJ,574.676,575 km
ARAGUARI/MG:SUZANO/SP,ARAGUARI/MG,SUZANO/SP,665.045,665 km
ITAMOGI/MG:BETIM/MG,ITAMOGI/MG,BETIM/MG,393.13,393 km
ARAGUARI/MG:SÃO PAULO/SP,ARAGUARI/MG,SÃO PAULO/SP,622.09,622 km
OSVALDO CRUZ/SP:SÃO PAULO/SP,OSVALDO CRUZ/SP,SÃO PAULO/SP,573.848,574 km
MATOZINHOS/MG:BETIM/MG,MATOZINHOS/MG,BETIM/MG,76.877,"76,9 km"
ALMIRANTE TAMANDARÉ/PR:SÃO PAULO/SP,ALMIRANTE TAMANDARÉ/PR,SÃO PAULO/SP,426.785,427 km
PAPAGAIOS/MG:RIO DE JANEIRO/RJ,PAPAGAIOS/MG,RIO DE JANEIRO/RJ,573.277,573 km
BELO HORIZONTE/MG:SÃO JOAQUIM DE BICAS/MG,BELO HORIZONTE/MG,SÃO JOAQUIM DE BICAS/MG,41.671,"41,7 km"
MEDIANEIRA/PR:SÃO PAULO/SP,MEDIANEIRA/PR,SÃO PAULO/SP,986.546,987 km
RIO DE JANEIRO/RJ:VIÇOSA/MG,RIO DE JANEIRO/RJ,VIÇOSA/MG,366.72,367 km
CAMPO LARGO/PR:SÃO PAULO/SP,CAMPO LARGO/PR,SÃO PAULO/SP,466.781,467 km
IGARATINGA/MG:SÃO PAULO/SP,IGARATINGA/MG,SÃO PAULO/SP,574.028,574 km
SÃO JOÃO EVANGELISTA/MG:SÃO PAULO/SP,SÃO JOÃO EVANGELISTA/MG,SÃO PAULO/SP,865.052,865 km
PARÁ DE MINAS/MG:BETIM/MG,PARÁ DE MINAS/MG,BETIM/MG,53.944,"53,9 km"
ITAJUBÁ/MG:ITAJUBÁ/MG,ITAJUBÁ/MG,ITAJUBÁ/MG,0.0,1 m
UNIÃO DE MINAS/MG:RIO DE JANEIRO/RJ,UNIÃO DE MINAS/MG,RIO DE JANEIRO/RJ,1058.641,1.059 km
ABAETÉ/MG:BETIM/MG,ABAETÉ/MG,BETIM/MG,182.944,183 km
IGARAPÉ/MG:SÃO BERNARDO DO CAMPO/SP,IGARAPÉ/MG,SÃO BERNARDO DO CAMPO/SP,552.837,553 km
ITAÚ DE MINAS/MG:RIO DE JANEIRO/RJ,ITAÚ DE MINAS/MG,RIO DE JANEIRO/RJ,625.157,625 km
CAMARAGIBE/PE:CAMAÇARI/BA,CAMARAGIBE/PE,CAMAÇARI/BA,786.456,786 km
ANÁPOLIS/GO:SÃO PAULO/SP,ANÁPOLIS/GO,SÃO PAULO/SP,955.205,955 km
RIO DE JANEIRO/RJ:MANHUAÇU/MG,RIO DE JANEIRO/RJ,MANHUAÇU/MG,427.852,428 km
RIO DE JANEIRO/RJ:VARGINHA/MG,RIO DE JANEIRO/RJ,VARGINHA/MG,395.455,395 km
SOROCABA/SP:RIO DE JANEIRO/RJ,SOROCABA/SP,RIO DE JANEIRO/RJ,539.552,540 km
IGARAPÉ/MG:BARROSO/MG,IGARAPÉ/MG,BARROSO/MG,227.861,228 km
LASSANCE/MG:BETIM/MG,LASSANCE/MG,BETIM/MG,274.162,274 km
PARACATU/MG:SUZANO/SP,PARACATU/MG,SUZANO/SP,902.306,902 km
ANDRELÂNDIA/MG:RIO DE JANEIRO/RJ,ANDRELÂNDIA/MG,RIO DE JANEIRO/RJ,255.803,256 km
CURVELO/MG:BELO HORIZONTE/MG,CURVELO/MG,BELO HORIZONTE/MG,166.119,166 km
NOVA SERRANA/MG:BETIM/MG,NOVA SERRANA/MG,BETIM/MG,95.136,"95,1 km"
MACHADO/MG:BETIM/MG,MACHADO/MG,BETIM/MG,348.493,348 km
CAMPO BELO/MG:SUZANO/SP,CAMPO BELO/MG,SUZANO/SP,433.101,433 km
IGARAPÉ/MG:RAUL SOARES/MG,IGARAPÉ/MG,RAUL SOARES/MG,271.251,271 km
LAGOA GRANDE/MG:SÃO PAULO/SP,LAGOA GRANDE/MG,SÃO PAULO/SP,804.574,805 km
CONQUISTA/MG:IGARAPÉ/MG,CONQUISTA/MG,IGARAPÉ/MG,450.938,451 km
RECIFE/PE:SÃO JOSÉ DOS CAMPOS/SP,RECIFE/PE,SÃO JOSÉ DOS CAMPOS/SP,2685.199,2.685 km
BELO VALE/MG:RIO DE JANEIRO/RJ,BELO VALE/MG,RIO DE JANEIRO/RJ,399.833,400 km
SÃO ROQUE/SP:SÃO PAULO/SP,SÃO ROQUE/SP,SÃO PAULO/SP,69.929,"69,9 km"
CERQUEIRA CÉSAR/SP:SÃO PAULO/SP,CERQUEIRA CÉSAR/SP,SÃO PAULO/SP,293.135,293 km
CAÇAPAVA/SP:BOM SUCESSO/MG,CAÇAPAVA/SP,BOM SUCESSO/MG,370.612,371 km
IGARAPÉ/MG:ALÉM PARAÍBA/MG,IGARAPÉ/MG,ALÉM PARAÍBA/MG,414.605,415 km
IBIRAMA/SC:SÃO PAULO/SP,IBIRAMA/SC,SÃO PAULO/SP,673.655,674 km
UBÁ/MG:MESQUITA/RJ,UBÁ/MG,MESQUITA/RJ,307.085,307 km
ITURAMA/MG:GUARULHOS/SP,ITURAMA/MG,GUARULHOS/SP,648.334,648 km
SÃO JOÃO BATISTA DO GLÓRIA/MG:SÃO PAULO/SP,SÃO JOÃO BATISTA DO GLÓRIA/MG,SÃO PAULO/SP,402.636,403 km
RIO DE JANEIRO/RJ:BICAS/MG,RIO DE JANEIRO/RJ,BICAS/MG,212.375,212 km
ALTO RIO DOCE/MG:RIO DE JANEIRO/RJ,ALTO RIO DOCE/MG,RIO DE JANEIRO/RJ,327.137,327 km
PIUMHI/MG:BETIM/MG,PIUMHI/MG,BETIM/MG,228.837,229 km
BOCAIÚVA/MG:BETIM/MG,BOCAIÚVA/MG,BETIM/MG,381.431,381 km
NATÉRCIA/MG:RIO DE JANEIRO/RJ,NATÉRCIA/MG,RIO DE JANEIRO/RJ,353.654,354 km
RIO DE JANEIRO/RJ:CONSELHEIRO LAFAIETE/MG,RIO DE JANEIRO/RJ,CONSELHEIRO LAFAIETE/MG,343.618,344 km
DIVINO/MG:RIO DE JANEIRO/RJ,DIVINO/MG,RIO DE JANEIRO/RJ,377.077,377 km
CAETÉ/MG:RIO DE JANEIRO/RJ,CAETÉ/MG,RIO DE JANEIRO/RJ,501.72,502 km
CANÁPOLIS/MG:BETIM/MG,CANÁPOLIS/MG,BETIM/MG,626.388,626 km
COTIA/SP:MANHUAÇU/MG,COTIA/SP,MANHUAÇU/MG,796.38,796 km
ITUIUTABA/MG:GOIÂNIA/GO,ITUIUTABA/MG,GOIÂNIA/GO,316.581,317 km
CAXAMBU/MG:RIO DE JANEIRO/RJ,CAXAMBU/MG,RIO DE JANEIRO/RJ,287.585,288 km
LAGOA FORMOSA/MG:BELO HORIZONTE/MG,LAGOA FORMOSA/MG,BELO HORIZONTE/MG,374.687,375 km
MONTE BELO/MG:BELO HORIZONTE/MG,MONTE BELO/MG,BELO HORIZONTE/MG,399.794,400 km
GUARULHOS/SP:SALVADOR/BA,GUARULHOS/SP,SALVADOR/BA,,
SÃO SEBASTIÃO DO PARAÍSO/MG:BETIM/MG,SÃO SEBASTIÃO DO PARAÍSO/MG,BETIM/MG,366.571,367 km
SABARÁ/MG:IGARAPÉ/MG,SABARÁ/MG,IGARAPÉ/MG,67.586,"67,6 km"
NATÉRCIA/MG:GUARULHOS/SP,NATÉRCIA/MG,GUARULHOS/SP,250.176,250 km
SETE LAGOAS/MG:CAÇAPAVA/SP,SETE LAGOAS/MG,CAÇAPAVA/SP,580.026,580 km
MARACAÍ/SP:SÃO PAULO/SP,MARACAÍ/SP,SÃO PAULO/SP,461.985,462 km
SÃO BENTO DO SAPUCAÍ/SP:SÃO PAULO/SP,SÃO BENTO DO SAPUCAÍ/SP,SÃO PAULO/SP,170.286,170 km
LAVRAS/MG:GUARULHOS/SP,LAVRAS/MG,GUARULHOS/SP,365.54,366 km
CARLOS CHAGAS/MG:BETIM/MG,CARLOS CHAGAS/MG,BETIM/MG,578.356,578 km
FLORIANÓPOLIS/SC:SÃO PAULO/SP,FLORIANÓPOLIS/SC,SÃO PAULO/SP,708.269,708 km
SÃO JOSÉ DO RIO PARDO/SP:SÃO PAULO/SP,SÃO JOSÉ DO RIO PARDO/SP,SÃO PAULO/SP,253.56,254 km
ITUTINGA/MG:BETIM/MG,ITUTINGA/MG,BETIM/MG,223.643,224 km
UBÁ/MG:SUZANO/SP,UBÁ/MG,SUZANO/SP,560.934,561 km
BELO HORIZONTE/MG:CAXAMBU/MG,BELO HORIZONTE/MG,CAXAMBU/MG,376.933,377 km
SOROCABA/SP:SOROCABA/SP,SOROCABA/SP,SOROCABA/SP,0.0,1 m
RIO DE JANEIRO/RJ:NOVA PONTE/MG,RIO DE JANEIRO/RJ,NOVA PONTE/MG,962.897,963 km
SÃO JOÃO DEL REI/MG:SÃO PAULO/SP,SÃO JOÃO DEL REI/MG,SÃO PAULO/SP,470.333,470 km
SANTA LUZIA/MG:SUZANO/SP,SANTA LUZIA/MG,SUZANO/SP,626.093,626 km
SÃO GONÇALO DO RIO ABAIXO/MG:GUARULHOS/SP,SÃO GONÇALO DO RIO ABAIXO/MG,GUARULHOS/SP,652.017,652 km
SANTO ANTÔNIO DO MONTE/MG:BETIM/MG,SANTO ANTÔNIO DO MONTE/MG,BETIM/MG,166.372,166 km
RIO DE JANEIRO/RJ:ITAÚNA/MG,RIO DE JANEIRO/RJ,ITAÚNA/MG,509.967,510 km
PINHAIS/PR:SÃO JOSÉ DOS PINHAIS/PR,PINHAIS/PR,SÃO JOSÉ DOS PINHAIS/PR,15.15,"15,2 km"
JEQUITIBÁ/MG:RIO DE JANEIRO/RJ,JEQUITIBÁ/MG,RIO DE JANEIRO/RJ,544.89,545 km
PEDRA AZUL/MG:RIO DE JANEIRO/RJ,PEDRA AZUL/MG,RIO DE JANEIRO/RJ,980.476,980 km
MIRAÍ/MG:RIO DE JANEIRO/RJ,MIRAÍ/MG,RIO DE JANEIRO/RJ,288.271,288 km
SÃO JOAQUIM DE BICAS/MG:BETIM/MG,SÃO JOAQUIM DE BICAS/MG,BETIM/MG,12.325,"12,3 km"
LIMEIRA/SP:GUARULHOS/SP,LIMEIRA/SP,GUARULHOS/SP,161.121,161 km
ITURAMA/MG:BETIM/MG,ITURAMA/MG,BETIM/MG,714.302,714 km
